accession,sample
GSM1596831,singles-K562-rep1-well-97
GSM1596840,singles-K562-rep1-well-106
GSM1596874,singles-K562-rep1-well-140
GSM1596881,singles-K562-rep1-well-147
GSM1596940,singles-K562-rep2-well-14
GSM1596942,singles-K562-rep2-well-16
GSM1596944,singles-K562-rep2-well-18
GSM1596961,singles-K562-rep2-well-35
GSM1597041,singles-K562-rep3-well-115
GSM1597096,singles-K562-rep3-well-170
SRR1779746,singles-GM-rep1-well-64
SRR1779805,singles-GM-rep2-well-27
SRR1779856,singles-GM-rep2-well-78
SRR1779874,singles-GM-rep2-well-96
SRR1779956,singles-GM-rep3-well-82
SRR1779959,singles-GM-rep3-well-85
SRR1779973,singles-GM-rep4-well-3
SRR1780018,singles-GM-rep4-well-48
SRR1780020,singles-GM-rep4-well-50
SRR1780054,singles-GM-rep4-well-84